p,d,a
0.75,104,0.971
0.75,105,0.971
0.75,106,0.972
0.75,107,0.972
0.75,108,0.972
0.75,109,0.972
0.75,110,0.973
0.75,111,0.964
0.75,112,0.964
0.75,113,0.965
0.75,114,0.965
0.75,115,0.965
0.75,116,0.966
0.75,117,0.966
0.75,118,0.966
0.75,119,0.966
0.75,120,0.967
0.75,121,0.959
0.75,122,0.959
0.75,123,0.959
0.75,124,0.96
0.75,125,0.96
0.75,126,0.96
0.75,127,0.961
0.75,128,0.961
0.75,129,0.961
0.75,130,0.954
0.75,131,0.954
0.75,132,0.955
0.75,133,0.955
0.75,134,0.955
0.75,135,0.956
0.75,136,0.956
0.75,137,0.956
0.75,138,0.957
0.75,139,0.957
0.75,140,0.95
0.75,141,0.95
0.75,142,0.951
0.75,143,0.951
0.75,144,0.951
0.75,145,0.952
0.75,146,0.952
0.75,147,0.952
0.75,148,0.953
0.75,149,0.946
0.75,150,0.947
0.75,151,0.947
0.75,152,0.947
0.75,153,0.948
0.75,154,0.948
0.75,155,0.948
0.75,156,0.949
0.75,157,0.949
0.75,158,0.949
0.75,159,0.943
0.75,160,0.944
0.75,161,0.944
0.75,162,0.944
0.75,163,0.945
0.75,164,0.945
0.75,165,0.945
0.75,166,0.946
0.75,167,0.946
0.75,168,0.94
0.75,169,0.941
0.75,170,0.941
0.75,171,0.942
0.75,172,0.942
0.75,173,0.942
0.75,174,0.943
0.75,175,0.943
0.75,176,0.943
0.75,177,0.938
0.75,178,0.938
0.75,179,0.939
0.75,180,0.939
0.75,181,0.939
0.75,182,0.94
0.75,183,0.94
0.75,184,0.94
0.75,185,0.941
0.75,186,0.935
0.75,187,0.936
0.75,188,0.936
0.75,189,0.937
0.75,190,0.937
0.75,191,0.937
0.75,192,0.938
0.75,193,0.938
0.75,194,0.938
0.75,195,0.938
0.75,196,0.934
0.75,197,0.934
0.75,198,0.934
0.75,199,0.935
0.75,200,0.935
0.5,1,3.0
0.5,2,2.0
0.5,3,1.667
0.5,4,1.5
0.5,5,1.2
0.5,6,1.167
0.5,7,1.143
0.5,8,1.125
0.5,9,1.111
0.5,10,1.1
0.5,11,1.091
0.5,12,1.0
0.5,13,1.0
0.5,14,1.0
0.5,15,1.0
0.5,16,1.0
0.5,17,1.0
0.5,18,1.0
0.5,19,0.947
0.5,20,0.95
0.5,21,0.952
0.5,22,0.955
0.5,23,0.957
0.5,24,0.958
0.5,25,0.96
0.5,26,0.923
0.5,27,0.926
0.5,28,0.929
0.5,29,0.931
0.5,30,0.933
0.5,31,0.935
0.5,32,0.938
0.5,33,0.909
0.5,34,0.912
0.5,35,0.914
0.5,36,0.917
0.5,37,0.919
0.5,38,0.921
0.5,39,0.897
0.5,40,0.9
0.5,41,0.902
0.5,42,0.905
0.5,43,0.907
0.5,44,0.909
0.5,45,0.911
0.5,46,0.891
0.5,47,0.894
0.5,48,0.896
0.5,49,0.898
0.5,50,0.9
0.5,51,0.902
0.5,52,0.904
0.5,53,0.887
0.5,54,0.889
0.5,55,0.891
0.5,56,0.893
0.5,57,0.895
0.5,58,0.897
0.5,59,0.898
0.5,60,0.883
0.5,61,0.885
0.5,62,0.887
0.5,63,0.889
0.5,64,0.891
0.5,65,0.892
0.5,66,0.894
0.5,67,0.881
0.5,68,0.882
0.5,69,0.884
0.5,70,0.886
0.5,71,0.887
0.5,72,0.889
0.5,73,0.89
0.5,74,0.878
0.5,75,0.88
0.5,76,0.882
0.5,77,0.883
0.5,78,0.885
0.5,79,0.886
0.5,80,0.875
0.5,81,0.877
0.5,82,0.878
0.5,83,0.88
0.5,84,0.881
0.5,85,0.882
0.5,86,0.884
0.5,87,0.874
0.5,88,0.875
0.5,89,0.876
0.5,90,0.878
0.5,91,0.879
